,Month,Year,Location,AQI,Date
1198,Nov,2019,"Kukatpally, JNTU",121,2019-11-01
46,Nov,2019,"Balanagar, CITD office",143,2019-11-01
622,Nov,2019,"Abids, Police station",103,2019-11-01
910,Nov,2019,"Madhapur, Shilpa Kalavedika",106,2019-11-01
1390,Nov,2019,"Rajendranagar, NG Ranga Agricultural University",61,2019-11-01
430,Nov,2019,"Charminar, TSRTC bus station",108,2019-11-01
814,Nov,2019,"Langar House, Police Station",106,2019-11-01
142,Nov,2019,"Uppal, Modern food Industry, IDA",142,2019-11-01
526,Nov,2019,"Jeedimetla, Industrial Association building",123,2019-11-01
718,Nov,2019,"KBRN Park, DFO office",66,2019-11-01
238,Nov,2019,"Jubilee Hills, Police station",112,2019-11-01
1486,Nov,2019,"Sainikpuri, MRO office",54,2019-11-01
1199,Dec,2019,"Kukatpally, JNTU",141,2019-12-01
1103,Dec,2019,"Chikkadapally, Lepakshi Emporium",86,2019-12-01
47,Dec,2019,"Balanagar, CITD office",150,2019-12-01
1679,Dec,2019,"Shameerpet, MRO office",74,2019-12-01
143,Dec,2019,"Uppal, Modern food Industry, IDA",144,2019-12-01
431,Dec,2019,"Charminar, TSRTC bus station",131,2019-12-01
1295,Dec,2019,"Nacharam, Police station",107,2019-12-01
1391,Dec,2019,"Rajendranagar, NG Ranga Agricultural University",69,2019-12-01
911,Dec,2019,"Madhapur, Shilpa Kalavedika",103,2019-12-01
527,Dec,2019,"Jeedimetla, Industrial Association building",146,2019-12-01
1487,Dec,2019,"Sainikpuri, MRO office",59,2019-12-01
1007,Dec,2019,"MGBS, Bus stand",106,2019-12-01
815,Dec,2019,"Langar House, Police Station",117,2019-12-01
239,Dec,2019,"Jubilee Hills, Police station",132,2019-12-01
623,Dec,2019,"Abids, Police station",98,2019-12-01
1583,Dec,2019,"Buddha Purnima Project office, Tank Bund",88,2019-12-01
335,Dec,2019,"Paradise, HMWS &SB Pump house",124,2019-12-01
719,Dec,2019,"KBRN Park, DFO office",69,2019-12-01
912,Jan,2020,"Madhapur, Shilpa Kalavedika",89,2020-01-01
1680,Jan,2020,"Shameerpet, MRO office",82,2020-01-01
1488,Jan,2020,"Sainikpuri, MRO office",73,2020-01-01
816,Jan,2020,"Langar House, Police Station",95,2020-01-01
1008,Jan,2020,"MGBS, Bus stand",92,2020-01-01
528,Jan,2020,"Jeedimetla, Industrial Association building",148,2020-01-01
432,Jan,2020,"Charminar, TSRTC bus station",125,2020-01-01
1104,Jan,2020,"Chikkadapally, Lepakshi Emporium",79,2020-01-01
1200,Jan,2020,"Kukatpally, JNTU",127,2020-01-01
1392,Jan,2020,"Rajendranagar, NG Ranga Agricultural University",51,2020-01-01
720,Jan,2020,"KBRN Park, DFO office",55,2020-01-01
336,Jan,2020,"Paradise, HMWS &SB Pump house",114,2020-01-01
1584,Jan,2020,"Buddha Purnima Project office, Tank Bund",101,2020-01-01
1296,Jan,2020,"Nacharam, Police station",121,2020-01-01
624,Jan,2020,"Abids, Police station",90,2020-01-01
240,Jan,2020,"Jubilee Hills, Police station",104,2020-01-01
48,Jan,2020,"Balanagar, CITD office",126,2020-01-01
144,Jan,2020,"Uppal, Modern food Industry, IDA",126,2020-01-01
433,Feb,2020,"Charminar, TSRTC bus station",117,2020-02-01
529,Feb,2020,"Jeedimetla, Industrial Association building",129,2020-02-01
1489,Feb,2020,"Sainikpuri, MRO office",68,2020-02-01
49,Feb,2020,"Balanagar, CITD office",119,2020-02-01
721,Feb,2020,"KBRN Park, DFO office",58,2020-02-01
1681,Feb,2020,"Shameerpet, MRO office",53,2020-02-01
337,Feb,2020,"Paradise, HMWS &SB Pump house",96,2020-02-01
145,Feb,2020,"Uppal, Modern food Industry, IDA",115,2020-02-01
1105,Feb,2020,"Chikkadapally, Lepakshi Emporium",74,2020-02-01
1393,Feb,2020,"Rajendranagar, NG Ranga Agricultural University",47,2020-02-01
913,Feb,2020,"Madhapur, Shilpa Kalavedika",92,2020-02-01
817,Feb,2020,"Langar House, Police Station",96,2020-02-01
625,Feb,2020,"Abids, Police station",97,2020-02-01
1009,Feb,2020,"MGBS, Bus stand",86,2020-02-01
241,Feb,2020,"Jubilee Hills, Police station",103,2020-02-01
1297,Feb,2020,"Nacharam, Police station",91,2020-02-01
1585,Feb,2020,"Buddha Purnima Project office, Tank Bund",77,2020-02-01
1201,Feb,2020,"Kukatpally, JNTU",104,2020-02-01
914,Mar,2020,"Madhapur, Shilpa Kalavedika",106,2020-03-01
242,Mar,2020,"Jubilee Hills, Police station",84,2020-03-01
1298,Mar,2020,"Nacharam, Police station",97,2020-03-01
1586,Mar,2020,"Buddha Purnima Project office, Tank Bund",82,2020-03-01
1682,Mar,2020,"Shameerpet, MRO office",65,2020-03-01
146,Mar,2020,"Uppal, Modern food Industry, IDA",101,2020-03-01
1106,Mar,2020,"Chikkadapally, Lepakshi Emporium",113,2020-03-01
1490,Mar,2020,"Sainikpuri, MRO office",85,2020-03-01
1010,Mar,2020,"MGBS, Bus stand",99,2020-03-01
722,Mar,2020,"KBRN Park, DFO office",58,2020-03-01
1394,Mar,2020,"Rajendranagar, NG Ranga Agricultural University",52,2020-03-01
338,Mar,2020,"Paradise, HMWS &SB Pump house",91,2020-03-01
818,Mar,2020,"Langar House, Police Station",106,2020-03-01
626,Mar,2020,"Abids, Police station",102,2020-03-01
530,Mar,2020,"Jeedimetla, Industrial Association building",117,2020-03-01
50,Mar,2020,"Balanagar, CITD office",136,2020-03-01
434,Mar,2020,"Charminar, TSRTC bus station",110,2020-03-01
1202,Mar,2020,"Kukatpally, JNTU",85,2020-03-01
1683,Apr,2020,"Shameerpet, MRO office",95,2020-04-01
51,Apr,2020,"Balanagar, CITD office",80,2020-04-01
1395,Apr,2020,"Rajendranagar, NG Ranga Agricultural University",36,2020-04-01
531,Apr,2020,"Jeedimetla, Industrial Association building",78,2020-04-01
1491,Apr,2020,"Sainikpuri, MRO office",80,2020-04-01
819,Apr,2020,"Langar House, Police Station",55,2020-04-01
1107,Apr,2020,"Chikkadapally, Lepakshi Emporium",40,2020-04-01
723,Apr,2020,"KBRN Park, DFO office",56,2020-04-01
1587,Apr,2020,"Buddha Purnima Project office, Tank Bund",41,2020-04-01
435,Apr,2020,"Charminar, TSRTC bus station",81,2020-04-01
1011,Apr,2020,"MGBS, Bus stand",85,2020-04-01
1203,Apr,2020,"Kukatpally, JNTU",56,2020-04-01
339,Apr,2020,"Paradise, HMWS &SB Pump house",51,2020-04-01
915,Apr,2020,"Madhapur, Shilpa Kalavedika",73,2020-04-01
627,Apr,2020,"Abids, Police station",57,2020-04-01
1299,Apr,2020,"Nacharam, Police station",52,2020-04-01
147,Apr,2020,"Uppal, Modern food Industry, IDA",52,2020-04-01
243,Apr,2020,"Jubilee Hills, Police station",67,2020-04-01
1108,May,2020,"Chikkadapally, Lepakshi Emporium",52,2020-05-01
52,May,2020,"Balanagar, CITD office",86,2020-05-01
916,May,2020,"Madhapur, Shilpa Kalavedika",89,2020-05-01
1396,May,2020,"Rajendranagar, NG Ranga Agricultural University",44,2020-05-01
532,May,2020,"Jeedimetla, Industrial Association building",95,2020-05-01
148,May,2020,"Uppal, Modern food Industry, IDA",71,2020-05-01
820,May,2020,"Langar House, Police Station",89,2020-05-01
1492,May,2020,"Sainikpuri, MRO office",74,2020-05-01
244,May,2020,"Jubilee Hills, Police station",71,2020-05-01
1204,May,2020,"Kukatpally, JNTU",64,2020-05-01
1684,May,2020,"Shameerpet, MRO office",62,2020-05-01
1588,May,2020,"Buddha Purnima Project office, Tank Bund",46,2020-05-01
628,May,2020,"Abids, Police station",63,2020-05-01
1012,May,2020,"MGBS, Bus stand",93,2020-05-01
436,May,2020,"Charminar, TSRTC bus station",65,2020-05-01
340,May,2020,"Paradise, HMWS &SB Pump house",62,2020-05-01
1300,May,2020,"Nacharam, Police station",50,2020-05-01
724,May,2020,"KBRN Park, DFO office",58,2020-05-01
149,Jun,2020,"Uppal, Modern food Industry, IDA",59,2020-06-01
341,Jun,2020,"Paradise, HMWS &SB Pump house",64,2020-06-01
1589,Jun,2020,"Buddha Purnima Project office, Tank Bund",37,2020-06-01
821,Jun,2020,"Langar House, Police Station",49,2020-06-01
1109,Jun,2020,"Chikkadapally, Lepakshi Emporium",42,2020-06-01
1397,Jun,2020,"Rajendranagar, NG Ranga Agricultural University",31,2020-06-01
245,Jun,2020,"Jubilee Hills, Police station",57,2020-06-01
1013,Jun,2020,"MGBS, Bus stand",75,2020-06-01
1205,Jun,2020,"Kukatpally, JNTU",58,2020-06-01
1301,Jun,2020,"Nacharam, Police station",48,2020-06-01
629,Jun,2020,"Abids, Police station",54,2020-06-01
53,Jun,2020,"Balanagar, CITD office",67,2020-06-01
725,Jun,2020,"KBRN Park, DFO office",40,2020-06-01
917,Jun,2020,"Madhapur, Shilpa Kalavedika",43,2020-06-01
1685,Jun,2020,"Shameerpet, MRO office",54,2020-06-01
1493,Jun,2020,"Sainikpuri, MRO office",45,2020-06-01
437,Jun,2020,"Charminar, TSRTC bus station",60,2020-06-01
533,Jun,2020,"Jeedimetla, Industrial Association building",68,2020-06-01
1686,Jul,2020,"Shameerpet, MRO office",70,2020-07-01
246,Jul,2020,"Jubilee Hills, Police station",71,2020-07-01
1014,Jul,2020,"MGBS, Bus stand",72,2020-07-01
1590,Jul,2020,"Buddha Purnima Project office, Tank Bund",33,2020-07-01
1206,Jul,2020,"Kukatpally, JNTU",56,2020-07-01
54,Jul,2020,"Balanagar, CITD office",74,2020-07-01
1494,Jul,2020,"Sainikpuri, MRO office",42,2020-07-01
822,Jul,2020,"Langar House, Police Station",47,2020-07-01
726,Jul,2020,"KBRN Park, DFO office",22,2020-07-01
1302,Jul,2020,"Nacharam, Police station",50,2020-07-01
438,Jul,2020,"Charminar, TSRTC bus station",68,2020-07-01
534,Jul,2020,"Jeedimetla, Industrial Association building",69,2020-07-01
918,Jul,2020,"Madhapur, Shilpa Kalavedika",38,2020-07-01
150,Jul,2020,"Uppal, Modern food Industry, IDA",70,2020-07-01
1110,Jul,2020,"Chikkadapally, Lepakshi Emporium",41,2020-07-01
342,Jul,2020,"Paradise, HMWS &SB Pump house",69,2020-07-01
1398,Jul,2020,"Rajendranagar, NG Ranga Agricultural University",28,2020-07-01
630,Jul,2020,"Abids, Police station",51,2020-07-01
727,Aug,2020,"KBRN Park, DFO office",40,2020-08-01
343,Aug,2020,"Paradise, HMWS &SB Pump house",89,2020-08-01
439,Aug,2020,"Charminar, TSRTC bus station",76,2020-08-01
247,Aug,2020,"Jubilee Hills, Police station",76,2020-08-01
1015,Aug,2020,"MGBS, Bus stand",69,2020-08-01
1687,Aug,2020,"Shameerpet, MRO office",76,2020-08-01
1591,Aug,2020,"Buddha Purnima Project office, Tank Bund",55,2020-08-01
1303,Aug,2020,"Nacharam, Police station",60,2020-08-01
535,Aug,2020,"Jeedimetla, Industrial Association building",86,2020-08-01
151,Aug,2020,"Uppal, Modern food Industry, IDA",79,2020-08-01
1207,Aug,2020,"Kukatpally, JNTU",76,2020-08-01
55,Aug,2020,"Balanagar, CITD office",94,2020-08-01
919,Aug,2020,"Madhapur, Shilpa Kalavedika",37,2020-08-01
1399,Aug,2020,"Rajendranagar, NG Ranga Agricultural University",41,2020-08-01
823,Aug,2020,"Langar House, Police Station",75,2020-08-01
1111,Aug,2020,"Chikkadapally, Lepakshi Emporium",61,2020-08-01
631,Aug,2020,"Abids, Police station",49,2020-08-01
1495,Aug,2020,"Sainikpuri, MRO office",48,2020-08-01
1208,Sep,2020,"Kukatpally, JNTU",80,2020-09-01
1016,Sep,2020,"MGBS, Bus stand",63,2020-09-01
440,Sep,2020,"Charminar, TSRTC bus station",75,2020-09-01
632,Sep,2020,"Abids, Police station",49,2020-09-01
920,Sep,2020,"Madhapur, Shilpa Kalavedika",56,2020-09-01
1304,Sep,2020,"Nacharam, Police station",59,2020-09-01
344,Sep,2020,"Paradise, HMWS &SB Pump house",90,2020-09-01
1688,Sep,2020,"Shameerpet, MRO office",83,2020-09-01
536,Sep,2020,"Jeedimetla, Industrial Association building",86,2020-09-01
1400,Sep,2020,"Rajendranagar, NG Ranga Agricultural University",39,2020-09-01
1112,Sep,2020,"Chikkadapally, Lepakshi Emporium",62,2020-09-01
152,Sep,2020,"Uppal, Modern food Industry, IDA",90,2020-09-01
824,Sep,2020,"Langar House, Police Station",59,2020-09-01
248,Sep,2020,"Jubilee Hills, Police station",83,2020-09-01
728,Sep,2020,"KBRN Park, DFO office",41,2020-09-01
1496,Sep,2020,"Sainikpuri, MRO office",46,2020-09-01
1592,Sep,2020,"Buddha Purnima Project office, Tank Bund",51,2020-09-01
56,Sep,2020,"Balanagar, CITD office",88,2020-09-01
249,Oct,2020,"Jubilee Hills, Police station",83,2020-10-01
1305,Oct,2020,"Nacharam, Police station",69,2020-10-01
153,Oct,2020,"Uppal, Modern food Industry, IDA",91,2020-10-01
921,Oct,2020,"Madhapur, Shilpa Kalavedika",75,2020-10-01
729,Oct,2020,"KBRN Park, DFO office",47,2020-10-01
345,Oct,2020,"Paradise, HMWS &SB Pump house",91,2020-10-01
1209,Oct,2020,"Kukatpally, JNTU",87,2020-10-01
1017,Oct,2020,"MGBS, Bus stand",65,2020-10-01
1593,Oct,2020,"Buddha Purnima Project office, Tank Bund",61,2020-10-01
537,Oct,2020,"Jeedimetla, Industrial Association building",102,2020-10-01
1113,Oct,2020,"Chikkadapally, Lepakshi Emporium",74,2020-10-01
825,Oct,2020,"Langar House, Police Station",68,2020-10-01
1401,Oct,2020,"Rajendranagar, NG Ranga Agricultural University",61,2020-10-01
1497,Oct,2020,"Sainikpuri, MRO office",45,2020-10-01
57,Oct,2020,"Balanagar, CITD office",98,2020-10-01
633,Oct,2020,"Abids, Police station",60,2020-10-01
1689,Oct,2020,"Shameerpet, MRO office",85,2020-10-01
441,Oct,2020,"Charminar, TSRTC bus station",99,2020-10-01
1018,Nov,2020,"MGBS, Bus stand",69,2020-11-01
538,Nov,2020,"Jeedimetla, Industrial Association building",121,2020-11-01
1114,Nov,2020,"Chikkadapally, Lepakshi Emporium",80,2020-11-01
826,Nov,2020,"Langar House, Police Station",82,2020-11-01
1690,Nov,2020,"Shameerpet, MRO office",84,2020-11-01
154,Nov,2020,"Uppal, Modern food Industry, IDA",124,2020-11-01
442,Nov,2020,"Charminar, TSRTC bus station",96,2020-11-01
250,Nov,2020,"Jubilee Hills, Police station",84,2020-11-01
922,Nov,2020,"Madhapur, Shilpa Kalavedika",78,2020-11-01
1306,Nov,2020,"Nacharam, Police station",97,2020-11-01
1210,Nov,2020,"Kukatpally, JNTU",92,2020-11-01
1594,Nov,2020,"Buddha Purnima Project office, Tank Bund",75,2020-11-01
346,Nov,2020,"Paradise, HMWS &SB Pump house",90,2020-11-01
730,Nov,2020,"KBRN Park, DFO office",64,2020-11-01
1498,Nov,2020,"Sainikpuri, MRO office",63,2020-11-01
58,Nov,2020,"Balanagar, CITD office",135,2020-11-01
634,Nov,2020,"Abids, Police station",94,2020-11-01
1402,Nov,2020,"Rajendranagar, NG Ranga Agricultural University",61,2020-11-01
1307,Dec,2020,"Nacharam, Police station",97,2020-12-01
1595,Dec,2020,"Buddha Purnima Project office, Tank Bund",94,2020-12-01
1691,Dec,2020,"Shameerpet, MRO office",89,2020-12-01
731,Dec,2020,"KBRN Park, DFO office",68,2020-12-01
1115,Dec,2020,"Chikkadapally, Lepakshi Emporium",83,2020-12-01
59,Dec,2020,"Balanagar, CITD office",157,2020-12-01
443,Dec,2020,"Charminar, TSRTC bus station",119,2020-12-01
251,Dec,2020,"Jubilee Hills, Police station",105,2020-12-01
1211,Dec,2020,"Kukatpally, JNTU",109,2020-12-01
1403,Dec,2020,"Rajendranagar, NG Ranga Agricultural University",73,2020-12-01
539,Dec,2020,"Jeedimetla, Industrial Association building",145,2020-12-01
923,Dec,2020,"Madhapur, Shilpa Kalavedika",107,2020-12-01
155,Dec,2020,"Uppal, Modern food Industry, IDA",138,2020-12-01
635,Dec,2020,"Abids, Police station",103,2020-12-01
1499,Dec,2020,"Sainikpuri, MRO office",79,2020-12-01
347,Dec,2020,"Paradise, HMWS &SB Pump house",111,2020-12-01
827,Dec,2020,"Langar House, Police Station",99,2020-12-01
1019,Dec,2020,"MGBS, Bus stand",96,2020-12-01
1500,Jan,2021,"Sainikpuri, MRO office",95,2021-01-01
1404,Jan,2021,"Rajendranagar, NG Ranga Agricultural University",82,2021-01-01
1596,Jan,2021,"Buddha Purnima Project office, Tank Bund",91,2021-01-01
828,Jan,2021,"Langar House, Police Station",114,2021-01-01
924,Jan,2021,"Madhapur, Shilpa Kalavedika",123,2021-01-01
1020,Jan,2021,"MGBS, Bus stand",121,2021-01-01
1116,Jan,2021,"Chikkadapally, Lepakshi Emporium",102,2021-01-01
444,Jan,2021,"Charminar, TSRTC bus station",124,2021-01-01
156,Jan,2021,"Uppal, Modern food Industry, IDA",138,2021-01-01
348,Jan,2021,"Paradise, HMWS &SB Pump house",126,2021-01-01
540,Jan,2021,"Jeedimetla, Industrial Association building",148,2021-01-01
252,Jan,2021,"Jubilee Hills, Police station",120,2021-01-01
732,Jan,2021,"KBRN Park, DFO office",81,2021-01-01
1212,Jan,2021,"Kukatpally, JNTU",113,2021-01-01
1692,Jan,2021,"Shameerpet, MRO office",68,2021-01-01
1308,Jan,2021,"Nacharam, Police station",116,2021-01-01
636,Jan,2021,"Abids, Police station",100,2021-01-01
60,Jan,2021,"Balanagar, CITD office",162,2021-01-01
445,Feb,2021,"Charminar, TSRTC bus station",127,2021-02-01
61,Feb,2021,"Balanagar, CITD office",169,2021-02-01
1501,Feb,2021,"Sainikpuri, MRO office",76,2021-02-01
1693,Feb,2021,"Shameerpet, MRO office",83,2021-02-01
1117,Feb,2021,"Chikkadapally, Lepakshi Emporium",95,2021-02-01
733,Feb,2021,"KBRN Park, DFO office",64,2021-02-01
829,Feb,2021,"Langar House, Police Station",115,2021-02-01
925,Feb,2021,"Madhapur, Shilpa Kalavedika",114,2021-02-01
637,Feb,2021,"Abids, Police station",106,2021-02-01
541,Feb,2021,"Jeedimetla, Industrial Association building",147,2021-02-01
1213,Feb,2021,"Kukatpally, JNTU",109,2021-02-01
1597,Feb,2021,"Buddha Purnima Project office, Tank Bund",90,2021-02-01
349,Feb,2021,"Paradise, HMWS &SB Pump house",115,2021-02-01
1021,Feb,2021,"MGBS, Bus stand",96,2021-02-01
1309,Feb,2021,"Nacharam, Police station",108,2021-02-01
253,Feb,2021,"Jubilee Hills, Police station",107,2021-02-01
1405,Feb,2021,"Rajendranagar, NG Ranga Agricultural University",71,2021-02-01
157,Feb,2021,"Uppal, Modern food Industry, IDA",134,2021-02-01
350,Mar,2021,"Paradise, HMWS &SB Pump house",116,2021-03-01
926,Mar,2021,"Madhapur, Shilpa Kalavedika",111,2021-03-01
62,Mar,2021,"Balanagar, CITD office",166,2021-03-01
446,Mar,2021,"Charminar, TSRTC bus station",126,2021-03-01
734,Mar,2021,"KBRN Park, DFO office",66,2021-03-01
254,Mar,2021,"Jubilee Hills, Police station",120,2021-03-01
1406,Mar,2021,"Rajendranagar, NG Ranga Agricultural University",80,2021-03-01
158,Mar,2021,"Uppal, Modern food Industry, IDA",136,2021-03-01
1598,Mar,2021,"Buddha Purnima Project office, Tank Bund",82,2021-03-01
830,Mar,2021,"Langar House, Police Station",103,2021-03-01
542,Mar,2021,"Jeedimetla, Industrial Association building",148,2021-03-01
638,Mar,2021,"Abids, Police station",106,2021-03-01
1118,Mar,2021,"Chikkadapally, Lepakshi Emporium",93,2021-03-01
1310,Mar,2021,"Nacharam, Police station",107,2021-03-01
1502,Mar,2021,"Sainikpuri, MRO office",76,2021-03-01
1022,Mar,2021,"MGBS, Bus stand",100,2021-03-01
1694,Mar,2021,"Shameerpet, MRO office",68,2021-03-01
1214,Mar,2021,"Kukatpally, JNTU",100,2021-03-01
639,Apr,2021,"Abids, Police station",77,2021-04-01
351,Apr,2021,"Paradise, HMWS &SB Pump house",100,2021-04-01
1695,Apr,2021,"Shameerpet, MRO office",79,2021-04-01
63,Apr,2021,"Balanagar, CITD office",166,2021-04-01
1599,Apr,2021,"Buddha Purnima Project office, Tank Bund",66,2021-04-01
1311,Apr,2021,"Nacharam, Police station",87,2021-04-01
159,Apr,2021,"Uppal, Modern food Industry, IDA",128,2021-04-01
1407,Apr,2021,"Rajendranagar, NG Ranga Agricultural University",66,2021-04-01
927,Apr,2021,"Madhapur, Shilpa Kalavedika",97,2021-04-01
1503,Apr,2021,"Sainikpuri, MRO office",75,2021-04-01
1023,Apr,2021,"MGBS, Bus stand",87,2021-04-01
255,Apr,2021,"Jubilee Hills, Police station",105,2021-04-01
735,Apr,2021,"KBRN Park, DFO office",57,2021-04-01
447,Apr,2021,"Charminar, TSRTC bus station",110,2021-04-01
1215,Apr,2021,"Kukatpally, JNTU",92,2021-04-01
831,Apr,2021,"Langar House, Police Station",85,2021-04-01
543,Apr,2021,"Jeedimetla, Industrial Association building",121,2021-04-01
1119,Apr,2021,"Chikkadapally, Lepakshi Emporium",93,2021-04-01
1504,May,2021,"Sainikpuri, MRO office",37,2021-05-01
544,May,2021,"Jeedimetla, Industrial Association building",74,2021-05-01
1216,May,2021,"Kukatpally, JNTU",50,2021-05-01
352,May,2021,"Paradise, HMWS &SB Pump house",64,2021-05-01
64,May,2021,"Balanagar, CITD office",112,2021-05-01
1408,May,2021,"Rajendranagar, NG Ranga Agricultural University",43,2021-05-01
256,May,2021,"Jubilee Hills, Police station",58,2021-05-01
640,May,2021,"Abids, Police station",50,2021-05-01
736,May,2021,"KBRN Park, DFO office",35,2021-05-01
160,May,2021,"Uppal, Modern food Industry, IDA",64,2021-05-01
1696,May,2021,"Shameerpet, MRO office",95,2021-05-01
928,May,2021,"Madhapur, Shilpa Kalavedika",60,2021-05-01
448,May,2021,"Charminar, TSRTC bus station",59,2021-05-01
1312,May,2021,"Nacharam, Police station",53,2021-05-01
832,May,2021,"Langar House, Police Station",55,2021-05-01
1120,May,2021,"Chikkadapally, Lepakshi Emporium",50,2021-05-01
1024,May,2021,"MGBS, Bus stand",52,2021-05-01
1600,May,2021,"Buddha Purnima Project office, Tank Bund",41,2021-05-01
545,Jun,2021,"Jeedimetla, Industrial Association building",69,2021-06-01
1409,Jun,2021,"Rajendranagar, NG Ranga Agricultural University",42,2021-06-01
1121,Jun,2021,"Chikkadapally, Lepakshi Emporium",63,2021-06-01
929,Jun,2021,"Madhapur, Shilpa Kalavedika",55,2021-06-01
161,Jun,2021,"Uppal, Modern food Industry, IDA",69,2021-06-01
449,Jun,2021,"Charminar, TSRTC bus station",66,2021-06-01
737,Jun,2021,"KBRN Park, DFO office",38,2021-06-01
1505,Jun,2021,"Sainikpuri, MRO office",39,2021-06-01
1217,Jun,2021,"Kukatpally, JNTU",53,2021-06-01
1025,Jun,2021,"MGBS, Bus stand",64,2021-06-01
1313,Jun,2021,"Nacharam, Police station",51,2021-06-01
257,Jun,2021,"Jubilee Hills, Police station",72,2021-06-01
641,Jun,2021,"Abids, Police station",47,2021-06-01
833,Jun,2021,"Langar House, Police Station",59,2021-06-01
353,Jun,2021,"Paradise, HMWS &SB Pump house",61,2021-06-01
1601,Jun,2021,"Buddha Purnima Project office, Tank Bund",48,2021-06-01
65,Jun,2021,"Balanagar, CITD office",93,2021-06-01
1697,Jun,2021,"Shameerpet, MRO office",62,2021-06-01
1698,Jul,2021,"Shameerpet, MRO office",54,2021-07-01
1506,Jul,2021,"Sainikpuri, MRO office",36,2021-07-01
642,Jul,2021,"Abids, Police station",47,2021-07-01
162,Jul,2021,"Uppal, Modern food Industry, IDA",75,2021-07-01
546,Jul,2021,"Jeedimetla, Industrial Association building",68,2021-07-01
834,Jul,2021,"Langar House, Police Station",54,2021-07-01
354,Jul,2021,"Paradise, HMWS &SB Pump house",74,2021-07-01
1218,Jul,2021,"Kukatpally, JNTU",53,2021-07-01
1314,Jul,2021,"Nacharam, Police station",44,2021-07-01
1026,Jul,2021,"MGBS, Bus stand",54,2021-07-01
1122,Jul,2021,"Chikkadapally, Lepakshi Emporium",50,2021-07-01
258,Jul,2021,"Jubilee Hills, Police station",72,2021-07-01
1602,Jul,2021,"Buddha Purnima Project office, Tank Bund",42,2021-07-01
66,Jul,2021,"Balanagar, CITD office",81,2021-07-01
738,Jul,2021,"KBRN Park, DFO office",32,2021-07-01
450,Jul,2021,"Charminar, TSRTC bus station",68,2021-07-01
930,Jul,2021,"Madhapur, Shilpa Kalavedika",48,2021-07-01
1410,Jul,2021,"Rajendranagar, NG Ranga Agricultural University",29,2021-07-01
67,Aug,2021,"Balanagar, CITD office",81,2021-08-01
1315,Aug,2021,"Nacharam, Police station",49,2021-08-01
1219,Aug,2021,"Kukatpally, JNTU",55,2021-08-01
643,Aug,2021,"Abids, Police station",45,2021-08-01
1411,Aug,2021,"Rajendranagar, NG Ranga Agricultural University",32,2021-08-01
451,Aug,2021,"Charminar, TSRTC bus station",64,2021-08-01
1507,Aug,2021,"Sainikpuri, MRO office",36,2021-08-01
1123,Aug,2021,"Chikkadapally, Lepakshi Emporium",50,2021-08-01
1699,Aug,2021,"Shameerpet, MRO office",70,2021-08-01
547,Aug,2021,"Jeedimetla, Industrial Association building",72,2021-08-01
1603,Aug,2021,"Buddha Purnima Project office, Tank Bund",43,2021-08-01
835,Aug,2021,"Langar House, Police Station",48,2021-08-01
931,Aug,2021,"Madhapur, Shilpa Kalavedika",47,2021-08-01
163,Aug,2021,"Uppal, Modern food Industry, IDA",70,2021-08-01
1027,Aug,2021,"MGBS, Bus stand",51,2021-08-01
355,Aug,2021,"Paradise, HMWS &SB Pump house",66,2021-08-01
259,Aug,2021,"Jubilee Hills, Police station",84,2021-08-01
739,Aug,2021,"KBRN Park, DFO office",27,2021-08-01
1604,Sep,2021,"Buddha Purnima Project office, Tank Bund",42,2021-09-01
452,Sep,2021,"Charminar, TSRTC bus station",77,2021-09-01
1124,Sep,2021,"Chikkadapally, Lepakshi Emporium",49,2021-09-01
1508,Sep,2021,"Sainikpuri, MRO office",33,2021-09-01
260,Sep,2021,"Jubilee Hills, Police station",53,2021-09-01
1316,Sep,2021,"Nacharam, Police station",42,2021-09-01
1700,Sep,2021,"Shameerpet, MRO office",76,2021-09-01
1028,Sep,2021,"MGBS, Bus stand",49,2021-09-01
164,Sep,2021,"Uppal, Modern food Industry, IDA",55,2021-09-01
932,Sep,2021,"Madhapur, Shilpa Kalavedika",42,2021-09-01
836,Sep,2021,"Langar House, Police Station",55,2021-09-01
644,Sep,2021,"Abids, Police station",46,2021-09-01
548,Sep,2021,"Jeedimetla, Industrial Association building",58,2021-09-01
356,Sep,2021,"Paradise, HMWS &SB Pump house",69,2021-09-01
1412,Sep,2021,"Rajendranagar, NG Ranga Agricultural University",32,2021-09-01
740,Sep,2021,"KBRN Park, DFO office",26,2021-09-01
1220,Sep,2021,"Kukatpally, JNTU",51,2021-09-01
68,Sep,2021,"Balanagar, CITD office",69,2021-09-01
933,Oct,2021,"Madhapur, Shilpa Kalavedika",67,2021-10-01
1701,Oct,2021,"Shameerpet, MRO office",83,2021-10-01
165,Oct,2021,"Uppal, Modern food Industry, IDA",94,2021-10-01
1221,Oct,2021,"Kukatpally, JNTU",85,2021-10-01
1317,Oct,2021,"Nacharam, Police station",66,2021-10-01
837,Oct,2021,"Langar House, Police Station",60,2021-10-01
261,Oct,2021,"Jubilee Hills, Police station",81,2021-10-01
453,Oct,2021,"Charminar, TSRTC bus station",106,2021-10-01
1605,Oct,2021,"Buddha Purnima Project office, Tank Bund",55,2021-10-01
645,Oct,2021,"Abids, Police station",54,2021-10-01
69,Oct,2021,"Balanagar, CITD office",103,2021-10-01
1509,Oct,2021,"Sainikpuri, MRO office",45,2021-10-01
