,Month,Year,Location,AQI,Date
1639,Aug,2016,"Shameerpet, MRO office",75,2016-08-01
487,Aug,2016,"Jeedimetla, Industrial Association building",76,2016-08-01
1447,Aug,2016,"Sainikpuri, MRO office",60,2016-08-01
871,Aug,2016,"Madhapur, Shilpa Kalavedika",49,2016-08-01
1255,Aug,2016,"Nacharam, Police station",67,2016-08-01
583,Aug,2016,"Abids, Police station",76,2016-08-01
679,Aug,2016,"KBRN Park, DFO office",39,2016-08-01
1159,Aug,2016,"Kukatpally, JNTU",65,2016-08-01
103,Aug,2016,"Uppal, Modern food Industry, IDA",67,2016-08-01
391,Aug,2016,"Charminar, TSRTC bus station",84,2016-08-01
775,Aug,2016,"Langar House, Police Station",64,2016-08-01
1064,Sep,2016,"Chikkadapally, Lepakshi Emporium",61,2016-09-01
1352,Sep,2016,"Rajendranagar, NG Ranga Agricultural University",62,2016-09-01
584,Sep,2016,"Abids, Police station",68,2016-09-01
200,Sep,2016,"Jubilee Hills, Police station",65,2016-09-01
1544,Sep,2016,"Buddha Purnima Project office, Tank Bund",39,2016-09-01
296,Sep,2016,"Paradise, HMWS &SB Pump house",90,2016-09-01
968,Sep,2016,"MGBS, Bus stand",47,2016-09-01
776,Sep,2016,"Langar House, Police Station",54,2016-09-01
1640,Sep,2016,"Shameerpet, MRO office",71,2016-09-01
488,Sep,2016,"Jeedimetla, Industrial Association building",73,2016-09-01
1256,Sep,2016,"Nacharam, Police station",59,2016-09-01
680,Sep,2016,"KBRN Park, DFO office",30,2016-09-01
1160,Sep,2016,"Kukatpally, JNTU",63,2016-09-01
1448,Sep,2016,"Sainikpuri, MRO office",57,2016-09-01
104,Sep,2016,"Uppal, Modern food Industry, IDA",66,2016-09-01
872,Sep,2016,"Madhapur, Shilpa Kalavedika",42,2016-09-01
392,Sep,2016,"Charminar, TSRTC bus station",71,2016-09-01
8,Sep,2016,"Balanagar, CITD office",85,2016-09-01
9,Oct,2016,"Balanagar, CITD office",110,2016-10-01
873,Oct,2016,"Madhapur, Shilpa Kalavedika",65,2016-10-01
201,Oct,2016,"Jubilee Hills, Police station",104,2016-10-01
969,Oct,2016,"MGBS, Bus stand",73,2016-10-01
1161,Oct,2016,"Kukatpally, JNTU",91,2016-10-01
585,Oct,2016,"Abids, Police station",98,2016-10-01
1353,Oct,2016,"Rajendranagar, NG Ranga Agricultural University",88,2016-10-01
393,Oct,2016,"Charminar, TSRTC bus station",101,2016-10-01
297,Oct,2016,"Paradise, HMWS &SB Pump house",112,2016-10-01
1257,Oct,2016,"Nacharam, Police station",100,2016-10-01
681,Oct,2016,"KBRN Park, DFO office",54,2016-10-01
489,Oct,2016,"Jeedimetla, Industrial Association building",112,2016-10-01
105,Oct,2016,"Uppal, Modern food Industry, IDA",104,2016-10-01
1449,Oct,2016,"Sainikpuri, MRO office",66,2016-10-01
1545,Oct,2016,"Buddha Purnima Project office, Tank Bund",57,2016-10-01
1641,Oct,2016,"Shameerpet, MRO office",74,2016-10-01
1065,Oct,2016,"Chikkadapally, Lepakshi Emporium",87,2016-10-01
777,Oct,2016,"Langar House, Police Station",73,2016-10-01
202,Nov,2016,"Jubilee Hills, Police station",118,2016-11-01
586,Nov,2016,"Abids, Police station",123,2016-11-01
1354,Nov,2016,"Rajendranagar, NG Ranga Agricultural University",80,2016-11-01
394,Nov,2016,"Charminar, TSRTC bus station",145,2016-11-01
298,Nov,2016,"Paradise, HMWS &SB Pump house",133,2016-11-01
1066,Nov,2016,"Chikkadapally, Lepakshi Emporium",96,2016-11-01
1258,Nov,2016,"Nacharam, Police station",119,2016-11-01
1450,Nov,2016,"Sainikpuri, MRO office",75,2016-11-01
970,Nov,2016,"MGBS, Bus stand",81,2016-11-01
778,Nov,2016,"Langar House, Police Station",79,2016-11-01
1162,Nov,2016,"Kukatpally, JNTU",125,2016-11-01
682,Nov,2016,"KBRN Park, DFO office",85,2016-11-01
1642,Nov,2016,"Shameerpet, MRO office",82,2016-11-01
10,Nov,2016,"Balanagar, CITD office",162,2016-11-01
106,Nov,2016,"Uppal, Modern food Industry, IDA",127,2016-11-01
1546,Nov,2016,"Buddha Purnima Project office, Tank Bund",79,2016-11-01
874,Nov,2016,"Madhapur, Shilpa Kalavedika",98,2016-11-01
490,Nov,2016,"Jeedimetla, Industrial Association building",159,2016-11-01
875,Dec,2016,"Madhapur, Shilpa Kalavedika",102,2016-12-01
683,Dec,2016,"KBRN Park, DFO office",109,2016-12-01
299,Dec,2016,"Paradise, HMWS &SB Pump house",160,2016-12-01
779,Dec,2016,"Langar House, Police Station",110,2016-12-01
491,Dec,2016,"Jeedimetla, Industrial Association building",155,2016-12-01
1547,Dec,2016,"Buddha Purnima Project office, Tank Bund",103,2016-12-01
587,Dec,2016,"Abids, Police station",126,2016-12-01
203,Dec,2016,"Jubilee Hills, Police station",165,2016-12-01
1643,Dec,2016,"Shameerpet, MRO office",60,2016-12-01
1163,Dec,2016,"Kukatpally, JNTU",126,2016-12-01
107,Dec,2016,"Uppal, Modern food Industry, IDA",144,2016-12-01
1451,Dec,2016,"Sainikpuri, MRO office",110,2016-12-01
1355,Dec,2016,"Rajendranagar, NG Ranga Agricultural University",110,2016-12-01
1067,Dec,2016,"Chikkadapally, Lepakshi Emporium",105,2016-12-01
11,Dec,2016,"Balanagar, CITD office",155,2016-12-01
395,Dec,2016,"Charminar, TSRTC bus station",170,2016-12-01
971,Dec,2016,"MGBS, Bus stand",88,2016-12-01
1259,Dec,2016,"Nacharam, Police station",126,2016-12-01
588,Jan,2017,"Abids, Police station",145,2017-01-01
1356,Jan,2017,"Rajendranagar, NG Ranga Agricultural University",91,2017-01-01
780,Jan,2017,"Langar House, Police Station",113,2017-01-01
1644,Jan,2017,"Shameerpet, MRO office",96,2017-01-01
204,Jan,2017,"Jubilee Hills, Police station",118,2017-01-01
1452,Jan,2017,"Sainikpuri, MRO office",121,2017-01-01
1548,Jan,2017,"Buddha Purnima Project office, Tank Bund",104,2017-01-01
492,Jan,2017,"Jeedimetla, Industrial Association building",172,2017-01-01
108,Jan,2017,"Uppal, Modern food Industry, IDA",147,2017-01-01
396,Jan,2017,"Charminar, TSRTC bus station",123,2017-01-01
300,Jan,2017,"Paradise, HMWS &SB Pump house",135,2017-01-01
12,Jan,2017,"Balanagar, CITD office",155,2017-01-01
1164,Jan,2017,"Kukatpally, JNTU",119,2017-01-01
972,Jan,2017,"MGBS, Bus stand",115,2017-01-01
876,Jan,2017,"Madhapur, Shilpa Kalavedika",101,2017-01-01
1260,Jan,2017,"Nacharam, Police station",116,2017-01-01
684,Jan,2017,"KBRN Park, DFO office",83,2017-01-01
1068,Jan,2017,"Chikkadapally, Lepakshi Emporium",106,2017-01-01
685,Feb,2017,"KBRN Park, DFO office",81,2017-02-01
1357,Feb,2017,"Rajendranagar, NG Ranga Agricultural University",88,2017-02-01
301,Feb,2017,"Paradise, HMWS &SB Pump house",131,2017-02-01
205,Feb,2017,"Jubilee Hills, Police station",132,2017-02-01
13,Feb,2017,"Balanagar, CITD office",160,2017-02-01
1549,Feb,2017,"Buddha Purnima Project office, Tank Bund",82,2017-02-01
109,Feb,2017,"Uppal, Modern food Industry, IDA",147,2017-02-01
1165,Feb,2017,"Kukatpally, JNTU",109,2017-02-01
1261,Feb,2017,"Nacharam, Police station",118,2017-02-01
1453,Feb,2017,"Sainikpuri, MRO office",121,2017-02-01
493,Feb,2017,"Jeedimetla, Industrial Association building",163,2017-02-01
1645,Feb,2017,"Shameerpet, MRO office",117,2017-02-01
877,Feb,2017,"Madhapur, Shilpa Kalavedika",104,2017-02-01
589,Feb,2017,"Abids, Police station",131,2017-02-01
781,Feb,2017,"Langar House, Police Station",115,2017-02-01
1069,Feb,2017,"Chikkadapally, Lepakshi Emporium",102,2017-02-01
973,Feb,2017,"MGBS, Bus stand",120,2017-02-01
397,Feb,2017,"Charminar, TSRTC bus station",157,2017-02-01
1646,Mar,2017,"Shameerpet, MRO office",129,2017-03-01
1262,Mar,2017,"Nacharam, Police station",104,2017-03-01
686,Mar,2017,"KBRN Park, DFO office",75,2017-03-01
1070,Mar,2017,"Chikkadapally, Lepakshi Emporium",95,2017-03-01
1550,Mar,2017,"Buddha Purnima Project office, Tank Bund",76,2017-03-01
398,Mar,2017,"Charminar, TSRTC bus station",142,2017-03-01
1166,Mar,2017,"Kukatpally, JNTU",117,2017-03-01
14,Mar,2017,"Balanagar, CITD office",156,2017-03-01
878,Mar,2017,"Madhapur, Shilpa Kalavedika",86,2017-03-01
974,Mar,2017,"MGBS, Bus stand",111,2017-03-01
494,Mar,2017,"Jeedimetla, Industrial Association building",155,2017-03-01
1358,Mar,2017,"Rajendranagar, NG Ranga Agricultural University",82,2017-03-01
782,Mar,2017,"Langar House, Police Station",110,2017-03-01
1454,Mar,2017,"Sainikpuri, MRO office",122,2017-03-01
590,Mar,2017,"Abids, Police station",120,2017-03-01
206,Mar,2017,"Jubilee Hills, Police station",127,2017-03-01
110,Mar,2017,"Uppal, Modern food Industry, IDA",130,2017-03-01
302,Mar,2017,"Paradise, HMWS &SB Pump house",126,2017-03-01
303,Apr,2017,"Paradise, HMWS &SB Pump house",163,2017-04-01
1071,Apr,2017,"Chikkadapally, Lepakshi Emporium",104,2017-04-01
399,Apr,2017,"Charminar, TSRTC bus station",199,2017-04-01
1167,Apr,2017,"Kukatpally, JNTU",129,2017-04-01
15,Apr,2017,"Balanagar, CITD office",183,2017-04-01
207,Apr,2017,"Jubilee Hills, Police station",160,2017-04-01
1455,Apr,2017,"Sainikpuri, MRO office",95,2017-04-01
975,Apr,2017,"MGBS, Bus stand",119,2017-04-01
879,Apr,2017,"Madhapur, Shilpa Kalavedika",102,2017-04-01
1551,Apr,2017,"Buddha Purnima Project office, Tank Bund",86,2017-04-01
1359,Apr,2017,"Rajendranagar, NG Ranga Agricultural University",76,2017-04-01
111,Apr,2017,"Uppal, Modern food Industry, IDA",159,2017-04-01
1263,Apr,2017,"Nacharam, Police station",118,2017-04-01
591,Apr,2017,"Abids, Police station",113,2017-04-01
1647,Apr,2017,"Shameerpet, MRO office",64,2017-04-01
495,Apr,2017,"Jeedimetla, Industrial Association building",180,2017-04-01
783,Apr,2017,"Langar House, Police Station",119,2017-04-01
687,Apr,2017,"KBRN Park, DFO office",93,2017-04-01
304,May,2017,"Paradise, HMWS &SB Pump house",137,2017-05-01
1360,May,2017,"Rajendranagar, NG Ranga Agricultural University",72,2017-05-01
1264,May,2017,"Nacharam, Police station",126,2017-05-01
16,May,2017,"Balanagar, CITD office",166,2017-05-01
400,May,2017,"Charminar, TSRTC bus station",171,2017-05-01
1552,May,2017,"Buddha Purnima Project office, Tank Bund",62,2017-05-01
1168,May,2017,"Kukatpally, JNTU",94,2017-05-01
208,May,2017,"Jubilee Hills, Police station",131,2017-05-01
880,May,2017,"Madhapur, Shilpa Kalavedika",109,2017-05-01
976,May,2017,"MGBS, Bus stand",105,2017-05-01
1648,May,2017,"Shameerpet, MRO office",56,2017-05-01
784,May,2017,"Langar House, Police Station",92,2017-05-01
1072,May,2017,"Chikkadapally, Lepakshi Emporium",90,2017-05-01
1456,May,2017,"Sainikpuri, MRO office",79,2017-05-01
592,May,2017,"Abids, Police station",80,2017-05-01
688,May,2017,"KBRN Park, DFO office",74,2017-05-01
496,May,2017,"Jeedimetla, Industrial Association building",149,2017-05-01
112,May,2017,"Uppal, Modern food Industry, IDA",103,2017-05-01
113,Jun,2017,"Uppal, Modern food Industry, IDA",72,2017-06-01
209,Jun,2017,"Jubilee Hills, Police station",113,2017-06-01
17,Jun,2017,"Balanagar, CITD office",132,2017-06-01
689,Jun,2017,"KBRN Park, DFO office",45,2017-06-01
401,Jun,2017,"Charminar, TSRTC bus station",84,2017-06-01
881,Jun,2017,"Madhapur, Shilpa Kalavedika",47,2017-06-01
593,Jun,2017,"Abids, Police station",74,2017-06-01
977,Jun,2017,"MGBS, Bus stand",46,2017-06-01
1361,Jun,2017,"Rajendranagar, NG Ranga Agricultural University",56,2017-06-01
1265,Jun,2017,"Nacharam, Police station",76,2017-06-01
1169,Jun,2017,"Kukatpally, JNTU",66,2017-06-01
497,Jun,2017,"Jeedimetla, Industrial Association building",88,2017-06-01
1073,Jun,2017,"Chikkadapally, Lepakshi Emporium",51,2017-06-01
1457,Jun,2017,"Sainikpuri, MRO office",72,2017-06-01
305,Jun,2017,"Paradise, HMWS &SB Pump house",97,2017-06-01
1553,Jun,2017,"Buddha Purnima Project office, Tank Bund",39,2017-06-01
1649,Jun,2017,"Shameerpet, MRO office",58,2017-06-01
785,Jun,2017,"Langar House, Police Station",66,2017-06-01
498,Jul,2017,"Jeedimetla, Industrial Association building",94,2017-07-01
1650,Jul,2017,"Shameerpet, MRO office",51,2017-07-01
402,Jul,2017,"Charminar, TSRTC bus station",82,2017-07-01
18,Jul,2017,"Balanagar, CITD office",103,2017-07-01
1458,Jul,2017,"Sainikpuri, MRO office",63,2017-07-01
210,Jul,2017,"Jubilee Hills, Police station",96,2017-07-01
882,Jul,2017,"Madhapur, Shilpa Kalavedika",40,2017-07-01
978,Jul,2017,"MGBS, Bus stand",58,2017-07-01
594,Jul,2017,"Abids, Police station",84,2017-07-01
1074,Jul,2017,"Chikkadapally, Lepakshi Emporium",61,2017-07-01
690,Jul,2017,"KBRN Park, DFO office",41,2017-07-01
1554,Jul,2017,"Buddha Purnima Project office, Tank Bund",44,2017-07-01
114,Jul,2017,"Uppal, Modern food Industry, IDA",75,2017-07-01
786,Jul,2017,"Langar House, Police Station",72,2017-07-01
